"Aerobic Capacity 6"
"Boost your FTP and oxygen uptake."
Durata Prevista
44 min
TSS (Stress Score) stimato
54

time_ms,target_watts,target_spm,target_force,real_watts,real_force,cord_pos,seat_pos,heart_rate
0,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
10,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
20,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
30,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
40,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
50,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
60,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
70,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
80,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
90,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
100,140.0,20.0,35.00,0.0,0.81,0.000,0.032,74
110,140.0,20.0,35.00,0.0,0.81,0.000,0.032,74
120,140.0,20.0,35.00,0.0,0.81,0.000,0.032,74
130,140.0,20.0,35.00,0.0,0.81,0.000,0.032,74
140,140.0,20.0,35.00,0.0,0.81,0.000,0.032,74
150,140.0,20.0,35.00,0.0,0.81,0.000,0.032,74
160,140.0,20.0,35.00,0.0,0.81,0.000,0.032,74
170,140.0,20.0,35.00,0.0,0.82,0.000,0.032,74
180,140.0,20.0,35.00,0.0,0.82,0.000,0.032,74
190,140.0,20.0,35.00,0.0,0.82,0.000,0.032,74
200,140.0,20.0,35.00,0.0,0.82,0.000,0.032,74
210,140.0,20.0,35.00,0.0,0.82,0.000,0.032,74
220,140.0,20.0,35.00,0.0,0.82,0.000,0.032,74
230,140.0,20.0,35.00,0.0,0.82,0.000,0.032,74
240,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
250,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
260,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
270,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
280,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
290,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
300,140.0,20.0,35.00,0.0,0.81,0.000,0.030,74
310,140.0,20.0,35.00,0.0,0.81,0.000,0.030,74
320,140.0,20.0,35.00,0.0,0.81,0.000,0.030,74
330,140.0,20.0,35.00,0.0,0.81,0.000,0.030,74
340,140.0,20.0,35.00,0.0,0.81,0.000,0.030,74
350,140.0,20.0,35.00,0.0,0.81,0.000,0.030,74
360,140.0,20.0,35.00,0.0,0.81,0.000,0.030,74
370,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
380,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
390,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
400,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
410,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
420,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
430,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
440,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
450,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
460,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
470,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
480,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
490,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
500,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
510,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
520,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
530,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
540,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
550,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
560,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
570,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
580,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
590,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
600,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
610,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
620,140.0,20.0,35.00,0.0,0.82,0.000,0.029,74
630,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
640,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
650,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
660,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
670,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
680,140.0,20.0,35.00,0.0,0.82,0.000,0.030,74
690,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
700,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
710,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
720,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
730,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
740,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
750,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
760,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
770,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
780,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
790,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
800,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
810,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
820,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
830,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
840,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
850,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
860,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
870,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
880,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
890,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
900,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
910,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
920,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
930,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
940,140.0,20.0,35.00,0.0,0.82,0.000,0.031,74
950,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
960,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
970,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
980,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
990,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
1000,140.0,20.0,35.00,0.0,0.81,0.000,0.031,74
1010,140.0,20.0,35.00,0.0,0.82,0.000,0.028,74
1020,140.0,20.0,35.00,0.0,0.82,0.000,0.028,74
1030,140.0,20.0,35.00,0.0,0.82,0.000,0.028,74
1040,140.0,20.0,35.00,0.0,0.82,0.000,0.028,74
