"Long VO2max Intervals 2"
"First its hard, then its submaximal ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Your VO2 kinetics stays above 90% during intervals."
Durata Prevista
35 min
TSS (Stress Score) stimato
43

time_ms,target_watts,target_spm,target_force,real_watts,real_force,cord_pos,seat_pos,heart_rate
0,0.0,0.0,35.00,76.0,0.75,0.000,0.019,113
10,0.0,0.0,35.00,76.0,0.75,0.000,0.019,113
20,0.0,0.0,35.00,76.0,0.75,0.000,0.019,113
30,0.0,0.0,35.00,76.0,0.75,0.000,0.019,113
40,0.0,0.0,35.00,76.0,0.75,0.000,0.019,113
50,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
60,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
70,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
80,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
90,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
100,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
110,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
120,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
130,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
140,0.0,0.0,35.00,76.0,0.75,0.000,0.022,113
150,0.0,0.0,35.00,76.0,0.75,0.000,0.018,113
160,0.0,0.0,35.00,76.0,0.75,0.000,0.018,113
170,0.0,0.0,35.00,76.0,0.75,0.000,0.018,113
180,0.0,0.0,35.00,76.0,0.75,0.000,0.018,113
190,0.0,0.0,35.00,76.0,0.75,0.000,0.018,113
200,0.0,0.0,35.00,76.0,0.75,0.000,0.018,113
210,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
220,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
230,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
240,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
250,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
260,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
270,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
280,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
290,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
300,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
310,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
320,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
330,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
340,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
350,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
360,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
370,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
380,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
390,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
400,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
410,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
420,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
430,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
440,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
450,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
460,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
470,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
480,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
490,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
500,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
510,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
520,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
530,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
540,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
550,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
560,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
570,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
580,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
590,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
600,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
610,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
620,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
630,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
640,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
650,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
660,0.0,0.0,35.00,76.0,0.75,0.000,0.015,114
670,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
680,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
690,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
700,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
710,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
720,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
730,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
740,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
750,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
760,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
770,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
780,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
790,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
800,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
810,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
820,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
830,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
840,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
850,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
860,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
870,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
880,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
890,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
900,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
910,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
920,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
930,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
940,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
950,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
960,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
970,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
980,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
990,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1000,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1010,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1020,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1030,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1040,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1050,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1060,0.0,0.0,35.00,76.0,0.74,0.000,0.019,114
1070,0.0,0.0,35.00,76.0,0.74,0.000,0.019,114
1080,0.0,0.0,35.00,76.0,0.74,0.000,0.019,114
1090,0.0,0.0,35.00,76.0,0.74,0.000,0.019,114
1100,0.0,0.0,35.00,76.0,0.74,0.000,0.019,114
1110,0.0,0.0,35.00,76.0,0.74,0.000,0.019,114
1120,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
1130,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
1140,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
1150,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
1160,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
1170,0.0,0.0,35.00,76.0,0.75,0.000,0.019,114
1180,0.0,0.0,35.00,76.0,0.76,0.000,0.016,114
1190,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
1200,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
1210,0.0,0.0,35.00,76.0,0.75,0.000,0.016,114
1220,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1230,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1240,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1250,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1260,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1270,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1280,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1290,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1300,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1310,0.0,0.0,35.00,76.0,0.75,0.000,0.018,114
1320,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1330,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1340,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1350,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1360,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1370,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1380,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1390,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1400,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1410,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1420,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1430,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1440,0.0,0.0,35.00,76.0,0.75,0.000,0.021,114
1450,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1460,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1470,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1480,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1490,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1500,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1510,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1520,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1530,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1540,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1550,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1560,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1570,0.0,0.0,35.00,76.0,0.75,0.000,0.022,114
1580,0.0,0.0,35.00,76.0,0.76,0.000,0.017,114
1590,0.0,0.0,35.00,76.0,0.76,0.000,0.017,114
1600,0.0,0.0,35.00,76.0,0.76,0.000,0.017,114
1610,0.0,0.0,35.00,76.0,0.76,0.000,0.017,114
1620,0.0,0.0,35.00,76.0,0.76,0.000,0.017,114
1630,0.0,0.0,35.00,76.0,0.76,0.000,0.017,114
1640,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1650,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1660,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1670,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1680,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1690,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1700,0.0,0.0,35.00,76.0,0.75,0.000,0.017,114
1710,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1720,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1730,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1740,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1750,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1760,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1770,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1780,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1790,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1800,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1810,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1820,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1830,0.0,0.0,35.00,76.0,0.75,0.000,0.020,114
1840,0.0,0.0,35.00,76.0,0.80,0.000,0.019,114
1850,0.0,0.0,35.00,76.0,0.80,0.000,0.019,114
1860,0.0,0.0,35.00,76.0,0.80,0.000,0.019,114
1870,0.0,0.0,35.00,76.0,0.80,0.000,0.019,114
1880,0.0,0.0,35.00,76.0,0.80,0.000,0.019,114
1890,0.0,0.0,35.00,76.0,0.80,0.000,0.019,114
1900,0.0,0.0,35.00,76.0,0.81,0.000,0.019,114
1910,0.0,0.0,35.00,76.0,0.81,0.000,0.019,114
1920,0.0,0.0,35.00,76.0,0.81,0.000,0.019,114
1930,0.0,0.0,35.00,76.0,0.81,0.000,0.019,114
1940,0.0,0.0,35.00,76.0,0.81,0.000,0.019,114
1950,0.0,0.0,35.00,76.0,0.81,0.000,0.019,114
1960,0.0,0.0,35.00,76.0,0.81,0.000,0.019,114
1970,0.0,0.0,35.00,76.0,0.84,0.000,0.018,114
1980,0.0,0.0,35.00,76.0,0.84,0.000,0.018,114
1990,0.0,0.0,35.00,76.0,0.84,0.000,0.018,114
2000,0.0,0.0,35.00,76.0,0.84,0.000,0.018,114
2010,0.0,0.0,35.00,76.0,0.84,0.000,0.018,114
2020,0.0,0.0,35.00,76.0,0.84,0.000,0.018,114
2030,0.0,0.0,35.00,76.0,0.83,0.000,0.018,114
2040,0.0,0.0,35.00,76.0,0.83,0.000,0.018,114
2050,0.0,0.0,35.00,76.0,0.83,0.000,0.018,114
2060,0.0,0.0,35.00,76.0,0.83,0.000,0.018,114
2070,0.0,0.0,35.00,76.0,0.83,0.000,0.018,114
2080,0.0,0.0,35.00,76.0,0.83,0.000,0.018,114
2090,0.0,0.0,35.00,76.0,0.83,0.000,0.018,114
2100,0.0,0.0,35.00,76.0,1.15,0.000,0.018,114
2110,0.0,0.0,35.00,76.0,1.16,0.000,0.018,114
2120,0.0,0.0,35.00,76.0,1.16,0.000,0.018,114
2130,0.0,0.0,35.00,76.0,1.17,0.000,0.018,114
2140,0.0,0.0,35.00,76.0,1.17,0.000,0.018,114
2150,0.0,0.0,35.00,76.0,1.18,0.000,0.018,114
2160,0.0,0.0,35.00,76.0,1.18,0.000,0.017,114
2170,0.0,0.0,35.00,76.0,1.19,0.000,0.017,114
2180,0.0,0.0,35.00,76.0,1.19,0.000,0.017,114
2190,0.0,0.0,35.00,76.0,1.19,0.000,0.017,114
2200,0.0,0.0,35.00,76.0,1.20,0.000,0.017,114
2210,0.0,0.0,35.00,76.0,1.20,0.000,0.017,114
2220,0.0,0.0,35.00,76.0,1.21,0.000,0.017,114
2230,0.0,0.0,35.00,76.0,1.25,0.000,0.025,114
2240,0.0,0.0,35.00,76.0,1.33,0.000,0.025,114
2250,0.0,0.0,35.00,76.0,1.40,0.000,0.025,114
2260,0.0,0.0,35.00,76.0,1.47,0.000,0.025,114
2270,0.0,0.0,35.00,76.0,1.54,0.000,0.025,114
2280,0.0,0.0,35.00,76.0,1.61,0.000,0.025,114
2290,0.0,0.0,35.00,76.0,1.68,0.000,0.025,114
2300,0.0,0.0,35.00,76.0,1.76,0.000,0.025,114
2310,0.0,0.0,35.00,76.0,1.83,0.000,0.025,114
2320,0.0,0.0,35.00,76.0,1.90,0.000,0.025,114
2330,0.0,0.0,35.00,76.0,1.97,0.000,0.025,114
2340,0.0,0.0,35.00,76.0,2.04,0.000,0.025,114
2350,0.0,0.0,35.00,76.0,2.12,0.000,0.025,114
2360,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2370,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2380,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2390,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2400,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2410,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2420,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2430,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2440,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2450,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2460,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2470,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2480,0.0,0.0,35.00,76.0,1.39,0.000,0.017,114
2490,0.0,0.0,35.00,76.0,1.49,0.000,0.020,114
2500,0.0,0.0,35.00,76.0,1.49,0.000,0.020,114
2510,0.0,0.0,35.00,76.0,1.49,0.000,0.020,114
2520,0.0,0.0,35.00,76.0,1.48,0.000,0.020,114
2530,0.0,0.0,35.00,76.0,1.48,0.000,0.020,114
2540,0.0,0.0,35.00,76.0,1.48,0.000,0.020,114
2550,0.0,0.0,35.00,76.0,1.48,0.000,0.020,114
2560,0.0,0.0,35.00,76.0,1.48,0.000,0.020,114
2570,0.0,0.0,35.00,76.0,1.48,0.000,0.020,114
2580,0.0,0.0,35.00,76.0,1.48,0.000,0.020,114
2590,0.0,0.0,35.00,76.0,1.47,0.000,0.020,114
2600,0.0,0.0,35.00,76.0,1.47,0.000,0.020,114
2610,0.0,0.0,35.00,76.0,1.47,0.000,0.020,114
2620,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2630,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2640,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2650,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2660,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2670,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2680,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2690,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2700,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2710,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2720,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2730,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2740,0.0,0.0,35.00,76.0,1.33,0.000,0.021,114
2750,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2760,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2770,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2780,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2790,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2800,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2810,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2820,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2830,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2840,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2850,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2860,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2870,0.0,0.0,35.00,76.0,1.28,0.000,0.019,114
2880,0.0,0.0,35.00,76.0,1.38,0.000,0.017,114
2890,0.0,0.0,35.00,76.0,1.38,0.000,0.017,114
2900,0.0,0.0,35.00,76.0,1.38,0.000,0.017,114
