"Aerobic Capacity 4"
"Train your aerobic metabolism."
Durata Prevista
44 min
TSS (Stress Score) stimato
32

time_ms,target_watts,target_spm,target_force,real_watts,real_force,cord_pos,seat_pos,heart_rate
0,140.0,20.0,35.00,0.0,0.97,0.000,0.029,80
10,140.0,20.0,35.00,0.0,0.97,0.000,0.029,80
20,140.0,20.0,35.00,0.0,0.97,0.000,0.029,80
30,140.0,20.0,35.00,0.0,0.97,0.000,0.029,80
40,140.0,20.0,35.00,0.0,0.97,0.000,0.029,80
50,140.0,20.0,35.00,0.0,0.97,0.000,0.029,80
60,140.0,20.0,35.00,0.0,0.98,0.000,0.031,80
70,140.0,20.0,35.00,0.0,0.98,0.000,0.031,80
80,140.0,20.0,35.00,0.0,0.98,0.000,0.031,80
90,140.0,20.0,35.00,0.0,0.98,0.000,0.031,80
100,140.0,20.0,35.00,0.0,0.98,0.000,0.032,81
110,140.0,20.0,35.00,0.0,0.98,0.000,0.032,81
120,140.0,20.0,35.00,0.0,0.98,0.000,0.032,81
130,140.0,20.0,35.00,0.0,0.98,0.000,0.032,81
140,140.0,20.0,35.00,0.0,0.98,0.000,0.032,81
150,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
160,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
170,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
180,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
190,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
200,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
210,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
220,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
230,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
240,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
250,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
260,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
270,140.0,20.0,35.00,0.0,0.98,0.000,0.031,81
280,140.0,20.0,35.00,0.0,0.97,0.000,0.028,81
290,140.0,20.0,35.00,0.0,0.97,0.000,0.028,81
300,140.0,20.0,35.00,0.0,0.97,0.000,0.028,81
310,140.0,20.0,35.00,0.0,0.97,0.000,0.028,81
320,140.0,20.0,35.00,0.0,0.97,0.000,0.028,81
330,140.0,20.0,35.00,0.0,0.97,0.000,0.028,81
340,140.0,20.0,35.00,0.0,0.97,0.000,0.028,81
350,140.0,20.0,35.00,0.0,0.98,0.000,0.028,81
360,140.0,20.0,35.00,0.0,0.98,0.000,0.028,81
370,140.0,20.0,35.00,0.0,0.98,0.000,0.028,81
380,140.0,20.0,35.00,0.0,0.98,0.000,0.028,81
390,140.0,20.0,35.00,0.0,0.98,0.000,0.028,81
400,140.0,20.0,35.00,0.0,0.98,0.000,0.028,81
410,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
420,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
430,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
440,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
450,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
460,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
470,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
480,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
490,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
500,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
510,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
520,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
530,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
540,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
550,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
560,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
570,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
580,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
590,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
600,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
610,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
620,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
630,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
640,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
650,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
660,140.0,20.0,35.00,0.0,0.97,0.000,0.029,81
670,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
680,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
690,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
700,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
710,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
720,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
730,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
740,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
750,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
760,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
770,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
780,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
790,140.0,20.0,35.00,0.0,0.97,0.000,0.031,81
800,140.0,20.0,35.00,0.0,0.98,0.000,0.028,81
