"Medium Tempo 1"
"Burn more fat and fine-tune your aerobic capacity."
Durata Prevista
55 min
TSS (Stress Score) stimato
62

time_ms,target_watts,target_spm,target_force,real_watts,real_force,cord_pos,seat_pos,heart_rate
0,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
10,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
20,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
30,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
40,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
50,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
60,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
70,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
80,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
90,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
100,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
110,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
120,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
130,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
140,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
150,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
160,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
170,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
180,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
190,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
200,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
210,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
220,140.0,20.0,35.00,0.0,1.01,0.000,0.126,86
230,140.0,20.0,35.00,0.0,1.01,0.000,0.126,86
240,140.0,20.0,35.00,0.0,1.01,0.000,0.126,86
250,140.0,20.0,35.00,0.0,1.01,0.000,0.126,86
260,140.0,20.0,35.00,0.0,1.01,0.000,0.126,86
270,140.0,20.0,35.00,0.0,1.01,0.000,0.126,86
280,140.0,20.0,35.00,0.0,1.01,0.000,0.126,86
290,140.0,20.0,35.00,0.0,1.01,0.000,0.122,86
300,140.0,20.0,35.00,0.0,1.01,0.000,0.122,86
310,140.0,20.0,35.00,0.0,1.01,0.000,0.122,86
320,140.0,20.0,35.00,0.0,1.01,0.000,0.122,86
330,140.0,20.0,35.00,0.0,1.01,0.000,0.122,86
340,140.0,20.0,35.00,0.0,1.01,0.000,0.122,86
350,140.0,20.0,35.00,0.0,1.00,0.000,0.122,86
360,140.0,20.0,35.00,0.0,1.00,0.000,0.122,86
370,140.0,20.0,35.00,0.0,1.00,0.000,0.122,86
380,140.0,20.0,35.00,0.0,1.00,0.000,0.122,86
390,140.0,20.0,35.00,0.0,1.00,0.000,0.122,86
400,140.0,20.0,35.00,0.0,1.00,0.000,0.122,86
410,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
420,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
430,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
440,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
450,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
460,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
470,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
480,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
490,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
500,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
510,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
520,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
530,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
540,140.0,20.0,35.00,0.0,1.00,0.000,0.128,86
550,140.0,20.0,35.00,0.0,1.01,0.000,0.121,86
560,140.0,20.0,35.00,0.0,1.01,0.000,0.121,86
570,140.0,20.0,35.00,0.0,1.01,0.000,0.122,86
580,140.0,20.0,35.00,0.0,1.01,0.000,0.122,86
590,140.0,20.0,35.00,0.0,1.01,0.000,0.122,86
600,140.0,20.0,35.00,0.0,1.01,0.000,0.123,86
610,140.0,20.0,35.00,0.0,1.00,0.000,0.123,86
620,140.0,20.0,35.00,0.0,1.00,0.000,0.123,86
630,140.0,20.0,35.00,0.0,1.00,0.000,0.124,86
640,140.0,20.0,35.00,0.0,1.00,0.000,0.124,86
650,140.0,20.0,35.00,0.0,1.00,0.000,0.124,86
660,140.0,20.0,35.00,0.0,1.00,0.000,0.125,86
670,140.0,20.0,35.00,0.0,1.00,0.000,0.125,86
680,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
690,140.0,20.0,35.00,0.0,1.00,0.000,0.126,86
