"The Mock Mission"
"The important thing is to not push the 18spm splits on this row as youÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ll end up going too fast at 24spm."
Durata Prevista
30 min
TSS (Stress Score) stimato
28

time_ms,target_watts,target_spm,target_force,real_watts,real_force,cord_pos,seat_pos,heart_rate
0,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
10,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
20,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
30,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
40,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
50,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
60,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
70,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
80,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
90,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
100,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
110,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
120,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
130,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
140,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
150,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
160,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
170,130.0,18.0,32.50,0.0,0.95,0.000,0.083,90
180,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
190,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
200,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
210,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
220,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
230,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
240,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
250,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
260,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
270,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
280,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
290,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
300,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
310,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
320,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
330,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
340,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
350,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
360,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
370,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
380,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
390,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
400,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
410,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
420,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
430,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
440,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
450,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
460,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
470,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
480,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
490,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
500,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
510,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
520,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
530,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
540,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
550,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
560,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
570,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
580,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
590,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
600,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
610,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
620,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
630,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
640,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
650,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
660,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
670,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
680,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
690,130.0,18.0,32.50,0.0,0.95,0.000,0.087,90
700,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
710,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
720,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
730,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
740,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
750,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
760,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
770,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
780,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
790,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
800,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
810,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
820,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
830,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
840,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
850,130.0,18.0,32.50,0.0,0.94,0.000,0.086,90
860,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
870,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
880,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
890,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
900,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
910,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
920,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
930,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
940,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
950,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
960,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
970,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
980,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
990,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1000,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1010,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1020,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1030,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1040,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1050,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1060,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1070,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1080,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
1090,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1100,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1110,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1120,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1130,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1140,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1150,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1160,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1170,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1180,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1190,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1200,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1210,130.0,18.0,32.50,0.0,0.95,0.000,0.085,90
1220,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1230,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1240,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1250,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1260,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1270,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1280,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1290,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1300,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1310,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1320,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1330,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1340,130.0,18.0,32.50,0.0,0.95,0.000,0.088,90
1350,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1360,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1370,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1380,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1390,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1400,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1410,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1420,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1430,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1440,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1450,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1460,130.0,18.0,32.50,0.0,0.95,0.000,0.086,90
1470,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1480,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1490,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1500,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1510,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1520,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1530,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1540,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1550,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1560,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1570,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1580,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1590,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1600,130.0,18.0,32.50,0.0,0.95,0.000,0.084,90
1610,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1620,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1630,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1640,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1650,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1660,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1670,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1680,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1690,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1700,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1710,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1720,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1730,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1740,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1750,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1760,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1770,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1780,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1790,130.0,18.0,32.50,0.0,0.94,0.000,0.084,90
1800,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
1810,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
1820,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
1830,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
1840,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
1850,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
1860,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
1870,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1880,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1890,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1900,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1910,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1920,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1930,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1940,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1950,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1960,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1970,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1980,130.0,18.0,32.50,0.0,0.94,0.000,0.083,90
1990,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2000,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2010,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2020,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2030,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2040,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2050,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2060,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2070,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2080,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2090,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2100,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2110,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2120,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2130,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2140,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2150,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2160,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2170,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2180,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2190,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2200,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2210,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2220,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2230,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2240,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2250,130.0,18.0,32.50,0.0,0.94,0.000,0.085,90
2260,130.0,18.0,32.50,0.0,0.92,0.000,0.086,90
2270,130.0,18.0,32.50,0.0,0.92,0.000,0.086,90
2280,130.0,18.0,32.50,0.0,0.92,0.000,0.086,90
2290,130.0,18.0,32.50,0.0,0.93,0.000,0.086,90
2300,130.0,18.0,32.50,0.0,0.93,0.000,0.086,90
2310,130.0,18.0,32.50,0.0,0.93,0.000,0.086,90
2320,130.0,18.0,32.50,0.0,0.93,0.000,0.086,90
2330,130.0,18.0,32.50,0.0,0.93,0.000,0.086,90
2340,130.0,18.0,32.50,0.0,0.93,0.000,0.086,90
