"Kilometer Climb: Long"
"Short sprints after every kilometer, ramping up in intensity."
Durata Prevista
29 min
TSS (Stress Score) stimato
61

time_ms,target_watts,target_spm,target_force,real_watts,real_force,cord_pos,seat_pos,heart_rate
0,200.0,22.0,50.00,0.0,0.73,0.000,0.028,90
10,200.0,22.0,50.00,0.0,0.73,0.000,0.028,90
20,200.0,22.0,50.00,0.0,0.73,0.000,0.028,90
30,200.0,22.0,50.00,0.0,0.73,0.000,0.028,90
40,200.0,22.0,50.00,0.0,0.73,0.000,0.028,90
50,200.0,22.0,50.00,0.0,0.73,0.000,0.028,90
60,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
70,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
80,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
90,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
100,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
110,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
120,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
130,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
140,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
150,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
160,200.0,22.0,50.00,0.0,0.73,0.000,0.029,90
170,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
180,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
190,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
200,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
210,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
220,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
230,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
240,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
250,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
260,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
270,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
280,200.0,22.0,50.00,0.0,0.73,0.000,0.032,90
290,200.0,22.0,50.00,0.0,0.73,0.000,0.030,90
300,200.0,22.0,50.00,0.0,0.73,0.000,0.030,90
310,200.0,22.0,50.00,0.0,0.73,0.000,0.030,90
320,200.0,22.0,50.00,0.0,0.73,0.000,0.030,90
330,200.0,22.0,50.00,0.0,0.73,0.000,0.030,90
340,200.0,22.0,50.00,0.0,0.73,0.000,0.030,90
350,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
360,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
370,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
380,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
390,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
400,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
410,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
420,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
430,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
440,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
450,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
460,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
470,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
480,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
490,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
500,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
510,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
520,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
530,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
540,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
550,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
560,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
570,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
580,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
590,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
600,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
610,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
620,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
630,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
640,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
650,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
660,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
670,200.0,22.0,50.00,0.0,0.73,0.000,0.030,91
680,200.0,22.0,50.00,0.0,0.73,0.000,0.027,91
690,200.0,22.0,50.00,0.0,0.73,0.000,0.027,91
700,200.0,22.0,50.00,0.0,0.73,0.000,0.027,91
710,200.0,22.0,50.00,0.0,0.73,0.000,0.027,91
720,200.0,22.0,50.00,0.0,0.73,0.000,0.027,91
730,200.0,22.0,50.00,0.0,0.73,0.000,0.027,91
740,200.0,22.0,50.00,0.0,0.73,0.000,0.028,91
750,200.0,22.0,50.00,0.0,0.73,0.000,0.028,91
760,200.0,22.0,50.00,0.0,0.73,0.000,0.028,91
770,200.0,22.0,50.00,0.0,0.73,0.000,0.028,91
780,200.0,22.0,50.00,0.0,0.73,0.000,0.028,91
790,200.0,22.0,50.00,0.0,0.73,0.000,0.028,91
800,200.0,22.0,50.00,0.0,0.73,0.000,0.028,91
810,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
820,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
830,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
840,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
850,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
860,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
870,200.0,22.0,50.00,0.0,0.72,0.000,0.029,91
880,200.0,22.0,50.00,0.0,0.72,0.000,0.029,91
890,200.0,22.0,50.00,0.0,0.72,0.000,0.029,91
900,200.0,22.0,50.00,0.0,0.72,0.000,0.029,91
910,200.0,22.0,50.00,0.0,0.72,0.000,0.029,91
920,200.0,22.0,50.00,0.0,0.72,0.000,0.029,91
930,200.0,22.0,50.00,0.0,0.72,0.000,0.029,91
940,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
950,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
960,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
970,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
980,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
990,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
1000,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
1010,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
1020,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
1030,200.0,22.0,50.00,0.0,0.73,0.000,0.029,91
