"Aerobic Power 2"
"Train your oxygen consumption and boost your endurance."
Durata Prevista
40 min
TSS (Stress Score) stimato
53

time_ms,target_watts,target_spm,target_force,real_watts,real_force,cord_pos,seat_pos,heart_rate
0,140.0,20.0,35.00,0.0,1.26,0.002,0.028,78
10,140.0,20.0,35.00,0.0,1.26,0.002,0.028,78
20,140.0,20.0,35.00,0.0,1.26,0.002,0.028,78
30,140.0,20.0,35.00,0.0,1.26,0.002,0.028,78
40,140.0,20.0,35.00,0.0,1.26,0.002,0.028,78
50,140.0,20.0,35.00,0.0,1.26,0.002,0.028,78
60,140.0,20.0,35.00,0.0,1.26,0.002,0.028,78
70,140.0,20.0,35.00,0.0,1.26,0.002,0.028,78
80,140.0,20.0,35.00,0.0,1.26,0.002,0.028,78
90,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
100,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
110,140.0,20.0,35.00,0.0,1.24,0.002,0.028,78
120,140.0,20.0,35.00,0.0,1.24,0.002,0.028,78
130,140.0,20.0,35.00,0.0,1.24,0.002,0.028,78
140,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
150,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
160,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
170,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
180,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
190,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
200,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
210,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
220,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
230,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
240,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
250,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
260,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
270,140.0,20.0,35.00,0.0,1.28,0.002,0.025,78
280,140.0,20.0,35.00,0.0,1.28,0.002,0.025,78
290,140.0,20.0,35.00,0.0,1.28,0.002,0.025,78
300,140.0,20.0,35.00,0.0,1.28,0.002,0.025,78
310,140.0,20.0,35.00,0.0,1.28,0.002,0.025,78
320,140.0,20.0,35.00,0.0,1.28,0.002,0.025,78
330,140.0,20.0,35.00,0.0,1.28,0.002,0.025,78
340,140.0,20.0,35.00,0.0,1.27,0.002,0.025,78
350,140.0,20.0,35.00,0.0,1.27,0.002,0.025,78
360,140.0,20.0,35.00,0.0,1.27,0.002,0.025,78
370,140.0,20.0,35.00,0.0,1.27,0.002,0.025,78
380,140.0,20.0,35.00,0.0,1.27,0.002,0.025,78
390,140.0,20.0,35.00,0.0,1.27,0.002,0.025,78
400,140.0,20.0,35.00,0.0,1.24,0.002,0.026,78
410,140.0,20.0,35.00,0.0,1.24,0.002,0.026,78
420,140.0,20.0,35.00,0.0,1.24,0.002,0.026,78
430,140.0,20.0,35.00,0.0,1.24,0.002,0.027,78
440,140.0,20.0,35.00,0.0,1.24,0.002,0.027,78
450,140.0,20.0,35.00,0.0,1.24,0.002,0.027,78
460,140.0,20.0,35.00,0.0,1.24,0.002,0.027,78
470,140.0,20.0,35.00,0.0,1.25,0.002,0.027,78
480,140.0,20.0,35.00,0.0,1.25,0.002,0.027,78
490,140.0,20.0,35.00,0.0,1.25,0.002,0.027,78
500,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
510,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
520,140.0,20.0,35.00,0.0,1.25,0.002,0.028,78
530,140.0,20.0,35.00,0.0,1.25,0.002,0.025,78
540,140.0,20.0,35.00,0.0,1.25,0.002,0.025,78
550,140.0,20.0,35.00,0.0,1.25,0.002,0.025,78
560,140.0,20.0,35.00,0.0,1.25,0.002,0.025,78
570,140.0,20.0,35.00,0.0,1.25,0.002,0.025,78
580,140.0,20.0,35.00,0.0,1.25,0.002,0.025,78
590,140.0,20.0,35.00,0.0,1.25,0.002,0.025,78
600,140.0,20.0,35.00,0.0,1.26,0.002,0.025,78
610,140.0,20.0,35.00,0.0,1.26,0.002,0.025,78
620,140.0,20.0,35.00,0.0,1.26,0.002,0.025,78
630,140.0,20.0,35.00,0.0,1.26,0.002,0.025,78
640,140.0,20.0,35.00,0.0,1.26,0.002,0.025,78
650,140.0,20.0,35.00,0.0,1.26,0.002,0.025,78
660,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
670,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
680,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
690,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
700,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
710,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
720,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
730,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
740,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
750,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
760,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
770,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
780,140.0,20.0,35.00,0.0,1.20,0.002,0.025,78
790,140.0,20.0,35.00,0.0,1.23,0.002,0.024,78
800,140.0,20.0,35.00,0.0,1.23,0.002,0.024,78
810,140.0,20.0,35.00,0.0,1.23,0.002,0.024,78
820,140.0,20.0,35.00,0.0,1.24,0.002,0.024,78
830,140.0,20.0,35.00,0.0,1.24,0.002,0.024,78
840,140.0,20.0,35.00,0.0,1.24,0.002,0.024,78
850,140.0,20.0,35.00,0.0,1.24,0.002,0.024,78
860,140.0,20.0,35.00,0.0,1.24,0.002,0.024,78
870,140.0,20.0,35.00,0.0,1.24,0.002,0.024,78
880,140.0,20.0,35.00,0.0,1.24,0.002,0.024,78
890,140.0,20.0,35.00,0.0,1.25,0.002,0.024,78
900,140.0,20.0,35.00,0.0,1.25,0.002,0.024,78
910,140.0,20.0,35.00,0.0,1.25,0.002,0.024,78
920,140.0,20.0,35.00,0.0,0.51,0.000,0.029,78
930,140.0,20.0,35.00,0.0,0.56,0.000,0.029,78
940,140.0,20.0,35.00,0.0,0.61,0.000,0.029,78
950,140.0,20.0,35.00,0.0,0.67,0.000,0.029,78
960,140.0,20.0,35.00,0.0,0.72,0.000,0.029,78
970,140.0,20.0,35.00,0.0,0.77,0.000,0.029,78
980,140.0,20.0,35.00,0.0,0.82,0.000,0.029,78
990,140.0,20.0,35.00,0.0,0.87,0.000,0.029,79
1000,140.0,20.0,35.00,0.0,0.93,0.000,0.029,79
1010,140.0,20.0,35.00,0.0,0.98,0.000,0.029,79
1020,140.0,20.0,35.00,0.0,1.03,0.000,0.029,79
1030,140.0,20.0,35.00,0.0,1.08,0.000,0.029,79
1040,140.0,20.0,35.00,0.0,1.13,0.000,0.029,79
1050,140.0,20.0,35.00,0.0,1.34,0.000,0.025,79
1060,140.0,20.0,35.00,0.0,1.34,0.000,0.025,79
1070,140.0,20.0,35.00,0.0,1.34,0.000,0.025,79
1080,140.0,20.0,35.00,0.0,1.33,0.000,0.025,79
1090,140.0,20.0,35.00,0.0,1.33,0.000,0.025,79
1100,140.0,20.0,35.00,0.0,1.33,0.000,0.025,79
1110,140.0,20.0,35.00,0.0,1.33,0.000,0.025,79
1120,140.0,20.0,35.00,0.0,1.33,0.000,0.025,79
1130,140.0,20.0,35.00,0.0,1.33,0.000,0.025,79
1140,140.0,20.0,35.00,0.0,1.33,0.000,0.025,79
